diffex_id,NCBI_id
Amblyomma-americanum_evm.model.contig-92193-1.2,V5799_000067
Amblyomma-americanum_evm.model.contig-92198-1.1,V5799_000068
Amblyomma-americanum_evm.model.contig-92257-1.1,V5799_000069
Amblyomma-americanum_evm.model.contig-92260-1.1,V5799_000072
Amblyomma-americanum_evm.model.contig-92265-1.1,V5799_000073
Amblyomma-americanum_evm.model.contig-92270-1.1,V5799_000074
Amblyomma-americanum_evm.model.contig-92270-1.2,V5799_000075
Amblyomma-americanum_evm.model.contig-92270-1.3,V5799_000076
evm.TU.contig_92270_1.4,V5799_000077
Amblyomma-americanum_evm.model.contig-92270-1.5,V5799_000078
evm.TU.contig_9232_1.1,V5799_000079
Amblyomma-americanum_evm.model.contig-92420-1.1,V5799_000080
Amblyomma-americanum_evm.model.contig-92438-1.1,V5799_000083
Amblyomma-americanum_evm.model.contig-92450-1.2,V5799_000086
Amblyomma-americanum_evm.model.contig-92482-1.1,V5799_000087
evm.TU.contig_92530_1.1,V5799_000088
Amblyomma-americanum_evm.model.contig-92563-1.1,V5799_000089
Amblyomma-americanum_evm.model.contig-92587-1.1,V5799_000090
Amblyomma-americanum_evm.model.contig-92587-1.2,V5799_000091
Amblyomma-americanum_evm.model.contig-92592-1.1,V5799_000092
Amblyomma-americanum_evm.model.contig-92592-1.2,V5799_000093
evm.TU.contig_92594_1.1,V5799_000094
Amblyomma-americanum_evm.model.contig-92594-1.2,V5799_000095
Amblyomma-americanum_evm.model.contig-92594-1.3,V5799_000096
evm.TU.contig_92599_1.1,V5799_000097
Amblyomma-americanum_evm.model.contig-92599-1.2,V5799_000098
evm.TU.contig_92628_1.1,V5799_000099
evm.TU.contig_92628_1.2,V5799_000100
evm.TU.contig_92628_1.3,V5799_000101
Amblyomma-americanum_evm.model.contig-92629-1.1,V5799_000103
Amblyomma-americanum_evm.model.contig-92629-1.2,V5799_000104
Amblyomma-americanum_evm.model.contig-92629-1.3,V5799_000105
Amblyomma-americanum_evm.model.contig-92633-1.1,V5799_000106
Amblyomma-americanum_evm.model.contig-92633-1.7,V5799_000112
Amblyomma-americanum_evm.model.contig-92641-1.1,V5799_000113
Amblyomma-americanum_evm.model.contig-92641-1.2,V5799_000114
Amblyomma-americanum_evm.model.contig-92641-1.3,V5799_000115
Amblyomma-americanum_evm.model.contig-92641-1.4,V5799_000116
Amblyomma-americanum_evm.model.contig-92641-1.5,V5799_000117
Amblyomma-americanum_evm.model.contig-92641-1.6,V5799_000118
Amblyomma-americanum_evm.model.contig-92641-1.8,V5799_000120
Amblyomma-americanum_evm.model.contig-92652-1.1,V5799_000121
Amblyomma-americanum_evm.model.contig-92652-1.2,V5799_000122
Amblyomma-americanum_evm.model.contig-92652-1.3,V5799_000123
Amblyomma-americanum_evm.model.contig-92652-1.4,V5799_000124
Amblyomma-americanum_evm.model.contig-92652-1.5,V5799_000125
Amblyomma-americanum_evm.model.contig-92652-1.6,V5799_000126
Amblyomma-americanum_evm.model.contig-92652-1.7,V5799_000127
Amblyomma-americanum_evm.model.contig-92652-1.8,V5799_000128
Amblyomma-americanum_evm.model.contig-92652-1.9,V5799_000129
Amblyomma-americanum_evm.model.contig-92652-1.10,V5799_000130
Amblyomma-americanum_evm.model.contig-9267-1.1,V5799_000131
Amblyomma-americanum_evm.model.contig-92692-1.3,V5799_000135
Amblyomma-americanum_evm.model.contig-92692-1.4,V5799_000136
Amblyomma-americanum_evm.model.contig-92695-1.1,V5799_000137
Amblyomma-americanum_evm.model.contig-92697-1.1,V5799_000138
Amblyomma-americanum_evm.model.contig-92740-1.1,V5799_000139
Amblyomma-americanum_evm.model.contig-92740-1.2,V5799_000140
Amblyomma-americanum_evm.model.contig-92742-1.1,V5799_000141
Amblyomma-americanum_evm.model.contig-92793-1.1,V5799_000142
Amblyomma-americanum_evm.model.contig-92814-1.1,V5799_000143
Amblyomma-americanum_evm.model.contig-92814-1.2,V5799_000144
Amblyomma-americanum_evm.model.contig-92814-1.3,V5799_000145
Amblyomma-americanum_evm.model.contig-92814-1.4,V5799_000146
Amblyomma-americanum_evm.model.contig-92814-1.5,V5799_000147
evm.TU.contig_92814_1.6,V5799_000148
Amblyomma-americanum_evm.model.contig-92829-1.1,V5799_000149
Amblyomma-americanum_evm.model.contig-92829-1.2,V5799_000150
evm.TU.contig_92829_1.3,V5799_000151
Amblyomma-americanum_evm.model.contig-92833-1.1,V5799_000152
Amblyomma-americanum_evm.model.contig-92840-1.2,V5799_000154
Amblyomma-americanum_evm.model.contig-92936-1.1,V5799_000157
Amblyomma-americanum_evm.model.contig-92936-1.2,V5799_000158
Amblyomma-americanum_evm.model.contig-92936-1.3,V5799_000159
Amblyomma-americanum_evm.model.contig-92936-1.4,V5799_000160
Amblyomma-americanum_evm.model.contig-92936-1.5,V5799_000161
Amblyomma-americanum_evm.model.contig-92936-1.6,V5799_000162
Amblyomma-americanum_evm.model.contig-92942-1.1,V5799_000163
Amblyomma-americanum_evm.model.contig-92942-1.2,V5799_000164
Amblyomma-americanum_evm.model.contig-92944-1.1,V5799_000165
Amblyomma-americanum_evm.model.contig-92953-1.1,V5799_000166
Amblyomma-americanum_evm.model.contig-92971-1.1,V5799_000169
Amblyomma-americanum_evm.model.contig-93011-1.1,V5799_000171
Amblyomma-americanum_evm.model.contig-93011-1.2,V5799_000172
Amblyomma-americanum_evm.model.contig-93011-1.3,V5799_000173
Amblyomma-americanum_evm.model.contig-93036-1.1,V5799_000176
Amblyomma-americanum_evm.model.contig-93036-1.2,V5799_000177
Amblyomma-americanum_evm.model.contig-93036-1.4,V5799_000179
Amblyomma-americanum_evm.model.contig-93041-1.1,V5799_000180
Amblyomma-americanum_evm.model.contig-93047-1.1,V5799_000181
Amblyomma-americanum_evm.model.contig-93063-1.1,V5799_000182
Amblyomma-americanum_evm.model.contig-93078-1.1,V5799_000183
Amblyomma-americanum_evm.model.contig-93113-1.1,V5799_000187
Amblyomma-americanum_evm.model.contig-9312-1.1,V5799_000188
Amblyomma-americanum_evm.model.contig-93126-1.1,V5799_000189
evm.TU.contig_93195_1.1,V5799_000191
Amblyomma-americanum_evm.model.contig-93195-1.2,V5799_000192
evm.TU.contig_93195_1.3,V5799_000193
Amblyomma-americanum_evm.model.contig-93195-1.4,V5799_000194
Amblyomma-americanum_evm.model.contig-93195-1.5,V5799_000195
Amblyomma-americanum_evm.model.contig-93195-1.6,V5799_000196
Amblyomma-americanum_evm.model.contig-93195-1.7,V5799_000197
Amblyomma-americanum_evm.model.contig-93198-1.1,V5799_000198
Amblyomma-americanum_evm.model.contig-93199-1.1,V5799_000199
Amblyomma-americanum_evm.model.contig-93199-1.4,V5799_000202
Amblyomma-americanum_evm.model.contig-93199-1.5,V5799_000203
evm.TU.contig_932_1.1,V5799_000204
Amblyomma-americanum_evm.model.contig-93206-1.2,V5799_000206
Amblyomma-americanum_evm.model.contig-93206-1.3,V5799_000207
Amblyomma-americanum_evm.model.contig-93244-1.1,V5799_000208
Amblyomma-americanum_evm.model.contig-93296-1.2,V5799_000212
Amblyomma-americanum_evm.model.contig-9330-1.1,V5799_000213
Amblyomma-americanum_evm.model.contig-9330-1.2,V5799_000214
Amblyomma-americanum_evm.model.contig-93310-1.1,V5799_000215
Amblyomma-americanum_evm.model.contig-93311-1.1,V5799_000216
evm.TU.contig_93315_1.1,V5799_000217
Amblyomma-americanum_evm.model.contig-93322-1.1,V5799_000218
evm.TU.contig_93353_1.1,V5799_000221
Amblyomma-americanum_evm.model.contig-93353-1.2,V5799_000222
evm.TU.contig_93360_1.1,V5799_000225
Amblyomma-americanum_evm.model.contig-93365-1.1,V5799_000226
Amblyomma-americanum_evm.model.contig-93383-1.1,V5799_000227
Amblyomma-americanum_evm.model.contig-93392-1.1,V5799_000228
evm.TU.contig_93397_1.1,V5799_000230
Amblyomma-americanum_evm.model.contig-93420-1.1,V5799_000231
Amblyomma-americanum_evm.model.contig-93432-1.1,V5799_000232
Amblyomma-americanum_evm.model.contig-93450-1.1,V5799_000234
Amblyomma-americanum_evm.model.contig-93493-1.2,V5799_000236
Amblyomma-americanum_evm.model.contig-93500-1.1,V5799_000238
Amblyomma-americanum_evm.model.contig-93500-1.2,V5799_000239
Amblyomma-americanum_evm.model.contig-93500-1.3,V5799_000240
Amblyomma-americanum_evm.model.contig-93502-1.1,V5799_000242
Amblyomma-americanum_evm.model.contig-93502-1.2,V5799_000243
Amblyomma-americanum_evm.model.contig-93502-1.3,V5799_000244
Amblyomma-americanum_evm.model.contig-93502-1.4,V5799_000245
Amblyomma-americanum_evm.model.contig-93514-1.1,V5799_000246
Amblyomma-americanum_evm.model.contig-93531-1.1,V5799_000247
Amblyomma-americanum_evm.model.contig-93531-1.2,V5799_000248
Amblyomma-americanum_evm.model.contig-93531-1.3,V5799_000249
Amblyomma-americanum_evm.model.contig-93531-1.4,V5799_000250
Amblyomma-americanum_evm.model.contig-93531-1.5,V5799_000251
Amblyomma-americanum_evm.model.contig-93532-1.1,V5799_000252
evm.TU.contig_93536_1.1,V5799_000253
Amblyomma-americanum_evm.model.contig-93556-1.1,V5799_000255
Amblyomma-americanum_evm.model.contig-93587-1.1,V5799_000256
Amblyomma-americanum_evm.model.contig-93590-1.1,V5799_000257
Amblyomma-americanum_evm.model.contig-93590-1.2,V5799_000258
Amblyomma-americanum_evm.model.contig-93600-1.1,V5799_000259
Amblyomma-americanum_evm.model.contig-93600-1.2,V5799_000260
Amblyomma-americanum_evm.model.contig-93600-1.3,V5799_000261
Amblyomma-americanum_evm.model.contig-93600-1.4,V5799_000262
Amblyomma-americanum_evm.model.contig-93600-1.5,V5799_000263
Amblyomma-americanum_evm.model.contig-93600-1.6,V5799_000264
Amblyomma-americanum_evm.model.contig-93600-1.7,V5799_000265
Amblyomma-americanum_evm.model.contig-93607-1.2,V5799_000267
Amblyomma-americanum_evm.model.contig-93607-1.3,V5799_000268
Amblyomma-americanum_evm.model.contig-93615-1.1,V5799_000269
Amblyomma-americanum_evm.model.contig-93715-1.3,V5799_000273
Amblyomma-americanum_evm.model.contig-93739-1.1,V5799_000274
evm.TU.contig_9378_1.1,V5799_000275
Amblyomma-americanum_evm.model.contig-9378-1.2,V5799_000276
evm.TU.contig_9378_1.3,V5799_000277
Amblyomma-americanum_evm.model.contig-93809-1.1,V5799_000278
Amblyomma-americanum_evm.model.contig-93831-1.1,V5799_000280
Amblyomma-americanum_evm.model.contig-93831-1.2,V5799_000281
Amblyomma-americanum_evm.model.contig-93831-1.3,V5799_000282
evm.TU.contig_93831_1.4,V5799_000283
Amblyomma-americanum_evm.model.contig-93831-1.9,V5799_000288
Amblyomma-americanum_evm.model.contig-93833-1.1,V5799_000289
Amblyomma-americanum_evm.model.contig-93834-1.1,V5799_000290
Amblyomma-americanum_evm.model.contig-93839-1.1,V5799_000291
evm.TU.contig_93839_1.2,V5799_000292
Amblyomma-americanum_evm.model.contig-93844-1.1,V5799_000293
Amblyomma-americanum_evm.model.contig-93871-1.1,V5799_000294
Amblyomma-americanum_evm.model.contig-93871-1.2,V5799_000295
Amblyomma-americanum_evm.model.contig-93871-1.3,V5799_000296
Amblyomma-americanum_evm.model.contig-9389-1.3,V5799_000299
Amblyomma-americanum_evm.model.contig-93963-1.1,V5799_000301
Amblyomma-americanum_evm.model.contig-93979-1.1,V5799_000303
evm.TU.contig_94052_1.1,V5799_000305
Amblyomma-americanum_evm.model.contig-94052-1.2,V5799_000306
Amblyomma-americanum_evm.model.contig-94052-1.3,V5799_000307
Amblyomma-americanum_evm.model.contig-94061-1.1,V5799_000308
Amblyomma-americanum_evm.model.contig-94061-1.2,V5799_000309
Amblyomma-americanum_evm.model.contig-94061-1.3,V5799_000310
Amblyomma-americanum_evm.model.contig-94081-1.1,V5799_000311
Amblyomma-americanum_evm.model.contig-94081-1.2,V5799_000312
Amblyomma-americanum_evm.model.contig-94090-1.1,V5799_000313
Amblyomma-americanum_evm.model.contig-94090-1.2,V5799_000314
Amblyomma-americanum_evm.model.contig-94090-1.3,V5799_000315
Amblyomma-americanum_evm.model.contig-94090-1.4,V5799_000316
Amblyomma-americanum_evm.model.contig-94090-1.5,V5799_000317
Amblyomma-americanum_evm.model.contig-94097-1.1,V5799_000318
Amblyomma-americanum_evm.model.contig-94110-1.1,V5799_000319
Amblyomma-americanum_evm.model.contig-94142-1.1,V5799_000321
Amblyomma-americanum_evm.model.contig-94196-1.1,V5799_000322
Amblyomma-americanum_evm.model.contig-94196-1.2,V5799_000323
Amblyomma-americanum_evm.model.contig-94196-1.3,V5799_000324
Amblyomma-americanum_evm.model.contig-94196-1.4,V5799_000325
Amblyomma-americanum_evm.model.contig-94196-1.5,V5799_000326
Amblyomma-americanum_evm.model.contig-94196-1.6,V5799_000327
Amblyomma-americanum_evm.model.contig-94196-1.7,V5799_000328
Amblyomma-americanum_evm.model.contig-94197-1.1,V5799_000329
Amblyomma-americanum_evm.model.contig-94197-1.2,V5799_000330
evm.TU.contig_94197_1.3,V5799_000331
evm.TU.contig_94197_1.4,V5799_000332
evm.TU.contig_94197_1.5,V5799_000333
Amblyomma-americanum_evm.model.contig-94211-1.1,V5799_000334
Amblyomma-americanum_evm.model.contig-94218-1.1,V5799_000335
evm.TU.contig_94237_1.1,V5799_000336
Amblyomma-americanum_evm.model.contig-94278-1.1,V5799_000337
Amblyomma-americanum_evm.model.contig-9435-1.1,V5799_000339
Amblyomma-americanum_evm.model.contig-94366-1.1,V5799_000340
Amblyomma-americanum_evm.model.contig-94372-1.1,V5799_000341
evm.TU.contig_94373_1.1,V5799_000342
Amblyomma-americanum_evm.model.contig-94400-1.1,V5799_000343
Amblyomma-americanum_evm.model.contig-94412-1.1,V5799_000344
Amblyomma-americanum_evm.model.contig-94482-1.1,V5799_000345
Amblyomma-americanum_evm.model.contig-94482-1.2,V5799_000346
Amblyomma-americanum_evm.model.contig-94482-1.3,V5799_000347
Amblyomma-americanum_evm.model.contig-94482-1.4,V5799_000348
Amblyomma-americanum_evm.model.contig-94482-1.5,V5799_000349
Amblyomma-americanum_evm.model.contig-94482-1.6,V5799_000350
Amblyomma-americanum_evm.model.contig-94482-1.8,V5799_000352
Amblyomma-americanum_evm.model.contig-94484-1.1,V5799_000353
Amblyomma-americanum_evm.model.contig-94499-1.1,V5799_000354
Amblyomma-americanum_evm.model.contig-94499-1.2,V5799_000355
Amblyomma-americanum_evm.model.contig-9450-1.1,V5799_000356
Amblyomma-americanum_evm.model.contig-94501-1.2,V5799_000358
Amblyomma-americanum_evm.model.contig-94505-1.1,V5799_000359
Amblyomma-americanum_evm.model.contig-94505-1.2,V5799_000360
Amblyomma-americanum_evm.model.contig-94505-1.3,V5799_000361
Amblyomma-americanum_evm.model.contig-94505-1.4,V5799_000362
Amblyomma-americanum_evm.model.contig-94505-1.5,V5799_000363
Amblyomma-americanum_evm.model.contig-94505-1.6,V5799_000364
Amblyomma-americanum_evm.model.contig-94505-1.7,V5799_000365
Amblyomma-americanum_evm.model.contig-94505-1.8,V5799_000366
Amblyomma-americanum_evm.model.contig-94505-1.9,V5799_000367
Amblyomma-americanum_evm.model.contig-94505-1.10,V5799_000368
Amblyomma-americanum_evm.model.contig-94505-1.11,V5799_000369
Amblyomma-americanum_evm.model.contig-94505-1.12,V5799_000370
Amblyomma-americanum_evm.model.contig-94568-1.1,V5799_000372
Amblyomma-americanum_evm.model.contig-94568-1.2,V5799_000373
Amblyomma-americanum_evm.model.contig-94575-1.1,V5799_000374
Amblyomma-americanum_evm.model.contig-94575-1.2,V5799_000375
Amblyomma-americanum_evm.model.contig-94575-1.3,V5799_000376
Amblyomma-americanum_evm.model.contig-94575-1.4,V5799_000377
Amblyomma-americanum_evm.model.contig-94601-1.1,V5799_000379
evm.TU.contig_94601_1.2,V5799_000380
Amblyomma-americanum_evm.model.contig-94631-1.1,V5799_000381
Amblyomma-americanum_evm.model.contig-94631-1.2,V5799_000382
Amblyomma-americanum_evm.model.contig-94631-1.3,V5799_000383
Amblyomma-americanum_evm.model.contig-94631-1.4,V5799_000384
Amblyomma-americanum_evm.model.contig-94654-1.1,V5799_000386
Amblyomma-americanum_evm.model.contig-94674-1.1,V5799_000387
evm.TU.contig_94684_1.2,V5799_000389
Amblyomma-americanum_evm.model.contig-9469-1.1,V5799_000390
Amblyomma-americanum_evm.model.contig-9469-1.2,V5799_000391
Amblyomma-americanum_evm.model.contig-9469-1.3,V5799_000392
Amblyomma-americanum_evm.model.contig-9469-1.4,V5799_000393
Amblyomma-americanum_evm.model.contig-9469-1.5,V5799_000394
Amblyomma-americanum_evm.model.contig-9469-1.6,V5799_000395
Amblyomma-americanum_evm.model.contig-9469-1.7,V5799_000396
Amblyomma-americanum_evm.model.contig-9469-1.8,V5799_000397
Amblyomma-americanum_evm.model.contig-9469-1.9,V5799_000398
evm.TU.contig_9469_1.10,V5799_000399
Amblyomma-americanum_evm.model.contig-9469-1.11,V5799_000400
Amblyomma-americanum_evm.model.contig-9475-1.1,V5799_000404
Amblyomma-americanum_evm.model.contig-94753-1.1,V5799_000405
Amblyomma-americanum_evm.model.contig-94887-1.2,V5799_000413
Amblyomma-americanum_evm.model.contig-94887-1.3,V5799_000414
Amblyomma-americanum_evm.model.contig-94891-1.1,V5799_000415
Amblyomma-americanum_evm.model.contig-94891-1.3,V5799_000417
Amblyomma-americanum_evm.model.contig-94896-1.1,V5799_000418
evm.TU.contig_94924_1.2,V5799_000420
Amblyomma-americanum_evm.model.contig-94932-1.1,V5799_000421
Amblyomma-americanum_evm.model.contig-95012-1.1,V5799_000423
Amblyomma-americanum_evm.model.contig-95020-1.1,V5799_000424
Amblyomma-americanum_evm.model.contig-95027-1.1,V5799_000425
Amblyomma-americanum_evm.model.contig-95123-1.1,V5799_000426
evm.TU.contig_95170_1.1,V5799_000427
Amblyomma-americanum_evm.model.contig-95172-1.1,V5799_000428
Amblyomma-americanum_evm.model.contig-9527-1.1,V5799_000429
Amblyomma-americanum_evm.model.contig-95318-1.1,V5799_000430
Amblyomma-americanum_evm.model.contig-95340-1.1,V5799_000431
Amblyomma-americanum_evm.model.contig-95344-1.1,V5799_000432
Amblyomma-americanum_evm.model.contig-95359-1.1,V5799_000433
Amblyomma-americanum_evm.model.contig-95359-1.2,V5799_000434
Amblyomma-americanum_evm.model.contig-95365-1.1,V5799_000435
Amblyomma-americanum_evm.model.contig-95365-1.2,V5799_000436
Amblyomma-americanum_evm.model.contig-95365-1.3,V5799_000437
evm.TU.contig_95415_1.1,V5799_000438
Amblyomma-americanum_evm.model.contig-95415-1.3,V5799_000440
evm.TU.contig_95415_1.4,V5799_000441
Amblyomma-americanum_evm.model.contig-95416-1.1,V5799_000443
Amblyomma-americanum_evm.model.contig-95416-1.2,V5799_000444
Amblyomma-americanum_evm.model.contig-95416-1.3,V5799_000445
evm.TU.contig_95416_1.4,V5799_000446
evm.TU.contig_95426_1.1,V5799_000448
Amblyomma-americanum_evm.model.contig-95426-1.2,V5799_000449
Amblyomma-americanum_evm.model.contig-95426-1.3,V5799_000450
Amblyomma-americanum_evm.model.contig-95426-1.4,V5799_000451
Amblyomma-americanum_evm.model.contig-95436-1.1,V5799_000452
Amblyomma-americanum_evm.model.contig-95436-1.3,V5799_000454
Amblyomma-americanum_evm.model.contig-95436-1.4,V5799_000455
Amblyomma-americanum_evm.model.contig-95436-1.5,V5799_000456
Amblyomma-americanum_evm.model.contig-95436-1.6,V5799_000457
Amblyomma-americanum_evm.model.contig-95436-1.7,V5799_000458
Amblyomma-americanum_evm.model.contig-95446-1.1,V5799_000459
Amblyomma-americanum_evm.model.contig-95530-1.5,V5799_000464
Amblyomma-americanum_evm.model.contig-9557-1.1,V5799_000466
Amblyomma-americanum_evm.model.contig-95577-1.1,V5799_000467
Amblyomma-americanum_evm.model.contig-95577-1.3,V5799_000469
Amblyomma-americanum_evm.model.contig-95577-1.4,V5799_000470
Amblyomma-americanum_evm.model.contig-95577-1.5,V5799_000471
Amblyomma-americanum_evm.model.contig-95577-1.6,V5799_000472
Amblyomma-americanum_evm.model.contig-95577-1.7,V5799_000473
Amblyomma-americanum_evm.model.contig-95577-1.8,V5799_000474
Amblyomma-americanum_evm.model.contig-95577-1.9,V5799_000475
Amblyomma-americanum_evm.model.contig-95577-1.10,V5799_000476
Amblyomma-americanum_evm.model.contig-95577-1.11,V5799_000477
Amblyomma-americanum_evm.model.contig-95589-1.1,V5799_000479
Amblyomma-americanum_evm.model.contig-95589-1.2,V5799_000480
Amblyomma-americanum_evm.model.contig-95589-1.3,V5799_000481
Amblyomma-americanum_evm.model.contig-95589-1.4,V5799_000482
evm.TU.contig_95589_1.5,V5799_000483
Amblyomma-americanum_evm.model.contig-95589-1.6,V5799_000484
Amblyomma-americanum_evm.model.contig-95589-1.7,V5799_000485
evm.TU.contig_95592_1.1,V5799_000486
evm.TU.contig_95592_1.2,V5799_000487
Amblyomma-americanum_evm.model.contig-95592-1.3,V5799_000488
Amblyomma-americanum_evm.model.contig-95594-1.1,V5799_000489
Amblyomma-americanum_evm.model.contig-95594-1.2,V5799_000490
Amblyomma-americanum_evm.model.contig-95594-1.3,V5799_000491
Amblyomma-americanum_evm.model.contig-95594-1.4,V5799_000492
Amblyomma-americanum_evm.model.contig-95594-1.5,V5799_000493
Amblyomma-americanum_evm.model.contig-95602-1.1,V5799_000494
Amblyomma-americanum_evm.model.contig-95602-1.2,V5799_000495
evm.TU.contig_95603_1.1,V5799_000496
Amblyomma-americanum_evm.model.contig-95609-1.1,V5799_000497
Amblyomma-americanum_evm.model.contig-95609-1.2,V5799_000498
Amblyomma-americanum_evm.model.contig-95617-1.1,V5799_000499
Amblyomma-americanum_evm.model.contig-95617-1.2,V5799_000500
Amblyomma-americanum_evm.model.contig-95617-1.3,V5799_000501
Amblyomma-americanum_evm.model.contig-95617-1.4,V5799_000502
Amblyomma-americanum_evm.model.contig-95617-1.5,V5799_000503
Amblyomma-americanum_evm.model.contig-95617-1.6,V5799_000504
Amblyomma-americanum_evm.model.contig-95627-1.1,V5799_000505
Amblyomma-americanum_evm.model.contig-95627-1.2,V5799_000506
Amblyomma-americanum_evm.model.contig-95627-1.3,V5799_000507
Amblyomma-americanum_evm.model.contig-95627-1.4,V5799_000508
Amblyomma-americanum_evm.model.contig-95637-1.1,V5799_000509
Amblyomma-americanum_evm.model.contig-95701-1.1,V5799_000513
Amblyomma-americanum_evm.model.contig-95792-1.2,V5799_000515
Amblyomma-americanum_evm.model.contig-95792-1.3,V5799_000516
Amblyomma-americanum_evm.model.contig-95798-1.1,V5799_000517
Amblyomma-americanum_evm.model.contig-95802-1.1,V5799_000518
Amblyomma-americanum_evm.model.contig-95805-1.1,V5799_000519
Amblyomma-americanum_evm.model.contig-95816-1.1,V5799_000521
Amblyomma-americanum_evm.model.contig-95817-1.1,V5799_000522
Amblyomma-americanum_evm.model.contig-95817-1.2,V5799_000523
Amblyomma-americanum_evm.model.contig-9582-1.1,V5799_000524
Amblyomma-americanum_evm.model.contig-9582-1.2,V5799_000525
Amblyomma-americanum_evm.model.contig-9582-1.3,V5799_000526
Amblyomma-americanum_evm.model.contig-9582-1.4,V5799_000527
Amblyomma-americanum_evm.model.contig-9582-1.5,V5799_000528
Amblyomma-americanum_evm.model.contig-9582-1.6,V5799_000529
Amblyomma-americanum_evm.model.contig-9582-1.7,V5799_000530
Amblyomma-americanum_evm.model.contig-9582-1.8,V5799_000531
Amblyomma-americanum_evm.model.contig-9582-1.9,V5799_000532
Amblyomma-americanum_evm.model.contig-9582-1.10,V5799_000533
Amblyomma-americanum_evm.model.contig-9582-1.11,V5799_000534
Amblyomma-americanum_evm.model.contig-9582-1.12,V5799_000535
Amblyomma-americanum_evm.model.contig-9582-1.14,V5799_000537
Amblyomma-americanum_evm.model.contig-9582-1.16,V5799_000539
Amblyomma-americanum_evm.model.contig-9582-1.18,V5799_000541
evm.TU.contig_9582_1.19,V5799_000542
Amblyomma-americanum_evm.model.contig-95820-1.1,V5799_000543
Amblyomma-americanum_evm.model.contig-95839-1.1,V5799_000544
Amblyomma-americanum_evm.model.contig-95839-1.3,V5799_000546
Amblyomma-americanum_evm.model.contig-95850-1.1,V5799_000548
evm.TU.contig_95853_1.1,V5799_000549
Amblyomma-americanum_evm.model.contig-95853-1.2,V5799_000550
Amblyomma-americanum_evm.model.contig-95857-1.1,V5799_000551
Amblyomma-americanum_evm.model.contig-95857-1.2,V5799_000552
Amblyomma-americanum_evm.model.contig-95859-1.1,V5799_000553
